ID,Config Key,Config Value,Updated At
1a783924-58ff-4250-8d04-dc045fa735d4,Next Ashray Exam,8/10/2026,
18414d88-c7ca-4ba4-b6ed-8a5f0547b710,whatsapp_reminder,"Hare Krishna {user_name}! Please fill your Sadhana report for today. It only takes a minute and helps track your spiritual progress. Regards, {guide_name}",
ffe9244b-9b27-4034-8b4f-5fd8638c2ceb,counter:sadhanaEntryN,9685,2026-07-15T05:01:23.891Z
cc67fd7c-764d-41cf-b3f4-e08da56239b3,counter:bvEntryN,1893,2026-07-15T04:46:30.534Z
1daf4618-9e07-4509-942b-0731389500e7,service_published_2026-04-13_RES-003,2026-04-16T12:09:44.338Z,2026-04-16T12:09:44.338Z
53f5e4d8-69fe-4139-a0ef-c615d129ad53,service_published_2026-04-26_RES-001,2026-04-25T16:22:07.950Z,2026-04-25T16:22:07.950Z
3ef1d457-2103-4b33-8f0b-78c94ae01b59,service_published_2026-05-03_RES-001,2026-05-02T16:48:31.131Z,2026-05-02T16:48:31.131Z
ad29412a-b28a-4416-9666-de0e78d275ec,service_published_2026-05-10_RES-001,2026-05-09T15:15:46.612Z,2026-05-09T15:15:46.612Z
2aa34014-a38c-431c-b6d2-ec4ff1c2b043,service_published_2026-05-24_RES-001,2026-05-18T11:31:16.403Z,2026-05-18T11:31:16.403Z
8e0fed25-736b-48ef-9f34-3a7771b8ae10,service_published_2026-05-17_RES-001,2026-05-18T11:35:37.708Z,2026-05-18T11:35:37.708Z
3e856179-50f4-4f03-acfa-4110f878887d,course_config,"{""FOLK Powai"":{""Jigyasa"":""6a2426592ea68b95d72e62fb"",""Shraddhavan"":""6a2be96203eac1541e6efcbf"",""Sevak"":""6a2bea0a42bbbc9a6647b228"",""Sadhaka"":""6a2bea5ee383a591dcf2fcf3"",""Upasaka"":""6a2bea97b1345971800bb51b"",""Caranashraya"":""6a2beac72ff2a21c2a92dc3d""},""FOLK Airoli"":{""Shraddhavan"":""6a2be96203eac1541e6efcbf"",""Sevak"":""6a2bea0a42bbbc9a6647b228"",""Sadhaka"":""6a2bea5ee383a591dcf2fcf3"",""Upasaka"":""6a2bea97b1345971800bb51b"",""Caranashraya"":""6a2beac72ff2a21c2a92dc3d"",""Jigyasa"":""6a2427b52ea68b95d72ed717""},""FOLK Chembur"":{""Shraddhavan"":""6a2be96203eac1541e6efcbf"",""Sevak"":""6a2bea0a42bbbc9a6647b228"",""Sadhaka"":""6a2bea5ee383a591dcf2fcf3"",""Upasaka"":""6a2bea97b1345971800bb51b"",""Caranashraya"":""6a2beac72ff2a21c2a92dc3d"",""Jigyasa"":""6a2a8fae641316f32dd64ce7""},""FOLK Sion"":{""Shraddhavan"":""6a2be96203eac1541e6efcbf"",""Sevak"":""6a2bea0a42bbbc9a6647b228"",""Sadhaka"":""6a2bea5ee383a591dcf2fcf3"",""Upasaka"":""6a2bea97b1345971800bb51b"",""Caranashraya"":""6a2beac72ff2a21c2a92dc3d"",""Jigyasa"":""6a2427f7965d0dbbca1b101d""},""FOLK Thane"":{""Shraddhavan"":""6a2be96203eac1541e6efcbf"",""Sevak"":""6a2bea0a42bbbc9a6647b228"",""Sadhaka"":""6a2bea5ee383a591dcf2fcf3"",""Upasaka"":""6a2bea97b1345971800bb51b"",""Caranashraya"":""6a2beac72ff2a21c2a92dc3d"",""Jigyasa"":""6a2427ce37fe85ec4301708e""},""FOLK Vashi"":{""Shraddhavan"":""6a2be96203eac1541e6efcbf"",""Sevak"":""6a2bea0a42bbbc9a6647b228"",""Sadhaka"":""6a2bea5ee383a591dcf2fcf3"",""Upasaka"":""6a2bea97b1345971800bb51b"",""Caranashraya"":""6a2beac72ff2a21c2a92dc3d"",""Jigyasa"":""6a242785d4a4111c84f6978b""}}",2026-06-13T11:29:10.820Z
b3ec8efd-10b6-4f84-884b-a75d7186cb7f,tagmango_api_key,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyaWQiOiI2NzBhODdlMjFkYmIxNmMyOGNjNDNlMWMiLCJzaWduaW5nVGltZXN0YW1wIjoxNzcwNjQwODc3NDEzLCJpYXQiOjE3NzA2NDA4Nzd9.bgGYDaWWk4IcvZGC66FIjl5KchuBa9rOYffamz-UKg0,2026-06-21T08:16:06.987Z
8d7e600a-d791-4731-9374-939fe9139b87,tagmango_api_url,https://api-prod-new.tagmango.com/integration/action/migrate-user,2026-06-21T08:16:06.987Z
ed4ddeb2-0633-45a3-8d2a-66d032c25ba4,cleanliness_enabled_5ea420ca-2ba5-456e-89fa-d163d0ebba47,true,
75c9180e-5d1d-4e1e-ad97-bb90d3939ab0,service_verification_enabled_5ea420ca-2ba5-456e-89fa-d163d0ebba47,false,
